luma_id,display_name,wnba_stats_id,espn_id,first_season,last_season,n_seasons,source_scheme
LUMA-W-0000001,Cynthia Cooper,141,,2003,2003,1,wnba_stats
LUMA-W-0000002,Zuzi Klimesova,242,,2003,2003,1,wnba_stats
LUMA-W-0000003,Tracy Reid,338,,2003,2003,1,wnba_stats
LUMA-W-0000004,DeWanna Bonner,201886,869,2009,2026,17,both
LUMA-W-0000005,Alysha Clark,202252,924,2012,2026,14,both
LUMA-W-0000006,Courtney Vandersloot,202664,981,2011,2026,16,both
LUMA-W-0000007,Nneka Ogwumike,203014,1068,2012,2026,15,both
LUMA-W-0000008,Damiris Dantas,203024,2955898,2014,2026,11,both
LUMA-W-0000009,Tiffany Hayes,203026,1054,2012,2026,14,both
LUMA-W-0000010,Brittney Griner,203398,2490553,2013,2026,13,both
LUMA-W-0000011,Skylar Diggins,203400,2491205,2013,2026,12,both
LUMA-W-0000012,Kayla Alexander,203405,2491232,2013,2026,9,both
LUMA-W-0000013,Rebekah Gardner,203822,2327695,2022,2026,4,both
LUMA-W-0000014,Odyssey Sims,203824,2529047,2014,2026,13,both
LUMA-W-0000015,Kayla McBride,203825,2529205,2014,2026,13,both
LUMA-W-0000016,Alyssa Thomas,203826,2529140,2014,2026,13,both
LUMA-W-0000017,Natasha Howard,203827,2529130,2014,2026,13,both
LUMA-W-0000018,Stefanie Dolson,203828,2529183,2014,2026,13,both
LUMA-W-0000019,Chelsea Gray,203833,2529122,2015,2026,12,both
LUMA-W-0000020,Stephanie Talbot,203855,3099736,2017,2026,8,both
LUMA-W-0000021,Kayla Thornton,203866,2529622,2015,2026,11,both
LUMA-W-0000022,Rebecca Allen,204296,3102133,2015,2026,11,both
LUMA-W-0000023,Jewell Loyd,204319,2987869,2015,2026,12,both
LUMA-W-0000024,Elizabeth Williams,204322,2566081,2015,2026,12,both
LUMA-W-0000025,Cheyenne Parker-Tyus,204323,2529458,2015,2026,12,both
LUMA-W-0000026,Dearica Hamby,204324,2566106,2015,2026,12,both
LUMA-W-0000027,Kiah Stokes,204329,2590093,2015,2026,11,both
LUMA-W-0000028,Isabelle Harrison,204330,2566453,2016,2026,9,both
LUMA-W-0000029,Natasha Cloud,204333,2529137,2015,2026,11,both
LUMA-W-0000030,Betnijah Laney-Hamilton,204335,2593770,2015,2026,10,both
LUMA-W-0000031,Erica Wheeler,204365,2491214,2015,2026,11,both
LUMA-W-0000032,Valeriane Ayayi,204468,3919496,2015,2026,2,both
LUMA-W-0000033,Breanna Stewart,1627668,2998928,2016,2026,10,both
LUMA-W-0000034,Rachel Banham,1627671,2566186,2016,2026,11,both
LUMA-W-0000035,Jonquel Jones,1627673,2999101,2016,2026,10,both
LUMA-W-0000036,Kahleah Copper,1627674,2998938,2016,2026,11,both
LUMA-W-0000037,Courtney Williams,1627675,2987891,2016,2026,11,both
LUMA-W-0000038,Julie Allemand,1627700,4001679,2020,2026,4,both
LUMA-W-0000039,Temi Fagbenle,1627701,2569044,2017,2026,6,both
LUMA-W-0000040,Emma Cannon,1628242,2284331,2017,2026,8,both
LUMA-W-0000041,Sami Whitcomb,1628244,887,2017,2026,10,both
LUMA-W-0000042,Nia Coffey,1628269,3054590,2017,2026,10,both
LUMA-W-0000043,Kelsey Plum,1628276,3065570,2017,2026,9,both
LUMA-W-0000044,Allisha Gray,1628277,3058901,2017,2026,10,both
LUMA-W-0000045,Shatori Walker-Kimbrough,1628278,3058893,2017,2026,10,both
LUMA-W-0000046,Brittney Sykes,1628279,2988756,2017,2026,10,both
LUMA-W-0000047,Brionna Jones,1628280,3058895,2017,2026,10,both
LUMA-W-0000048,Karlie Samuelson,1628317,3056730,2018,2026,8,both
LUMA-W-0000049,Cecilia Zandalasini,1628508,4257500,2017,2026,5,both
LUMA-W-0000050,Ariel Atkins,1628878,3146151,2018,2026,9,both
LUMA-W-0000051,Monique Billings,1628881,3142255,2018,2026,9,both
LUMA-W-0000052,Lexie Brown,1628882,3058892,2018,2026,9,both
LUMA-W-0000053,Jordin Canada,1628886,3142250,2018,2026,9,both
LUMA-W-0000054,Myisha Hines-Allen,1628899,3142055,2018,2026,9,both
LUMA-W-0000055,Kelsey Mitchell,1628909,3142191,2018,2026,9,both
LUMA-W-0000056,Kia Nurse,1628915,3142327,2018,2026,8,both
LUMA-W-0000057,Azura Stevens,1628922,3142010,2018,2026,9,both
LUMA-W-0000058,Gabby Williams,1628931,3142328,2018,2026,8,both
LUMA-W-0000059,A'ja Wilson,1628932,3149391,2018,2026,9,both
LUMA-W-0000060,Sabrina Ionescu,1629477,4066533,2020,2026,7,both
LUMA-W-0000061,Katie Lou Samuelson,1629478,3917453,2019,2026,6,both
LUMA-W-0000062,Teaira McCowan,1629479,3913903,2019,2026,8,both
LUMA-W-0000063,Arike Ogunbowale,1629481,3904577,2019,2026,8,both
LUMA-W-0000064,Sophie Cunningham,1629482,3907781,2019,2026,8,both
LUMA-W-0000065,Napheesa Collier,1629483,3917450,2019,2026,8,both
LUMA-W-0000066,Megan Gustafson,1629484,3934218,2019,2026,8,both
LUMA-W-0000067,Brianna Turner,1629488,3142086,2019,2026,8,both
LUMA-W-0000068,Jessica Shepard,1629491,3906949,2019,2026,6,both
LUMA-W-0000069,Ezi Magbegor,1629496,4420318,2020,2026,7,both
LUMA-W-0000070,Marina Mabrey,1629497,3904576,2019,2026,8,both
LUMA-W-0000071,Jackie Young,1629498,4065870,2019,2026,8,both
LUMA-W-0000072,Alanna Smith,1629501,3913881,2019,2026,8,both
LUMA-W-0000073,Bridget Carleton,1629524,3906972,2019,2026,8,both
LUMA-W-0000074,Amy Okonkwo,1629539,3142242,2025,2026,2,both
LUMA-W-0000075,Marine Johannes,1629546,4038379,2019,2026,5,both
LUMA-W-0000076,Han Xu,1629566,4337216,2019,2026,4,both
LUMA-W-0000077,Natisha Hiedeman,1629567,3906753,2019,2026,8,both
LUMA-W-0000078,Kennedy Burke,1629568,3922628,2019,2026,7,both
LUMA-W-0000079,Li Yueru,1629574,4336633,2022,2026,4,both
LUMA-W-0000080,Maria Conde,1629576,3910470,2026,2026,1,both
LUMA-W-0000081,Emese Hof,1629581,3913680,2026,2026,1,both
LUMA-W-0000082,DiJonai Carrington,1630096,4066548,2021,2026,6,both
LUMA-W-0000083,Kaila Charles,1630097,4065780,2020,2026,6,both
LUMA-W-0000084,Mariella Fasoula,1630108,3904479,2026,2026,1,both
LUMA-W-0000085,Tyasha Harris,1630112,4065760,2020,2026,7,both
LUMA-W-0000086,Joyner Holmes,1630115,4068161,2020,2026,7,both
LUMA-W-0000087,Sug Sutton,1630134,4068159,2020,2026,5,both
LUMA-W-0000088,Peyton Williams,1630138,4068104,2026,2026,1,both
LUMA-W-0000089,Leonie Fiebich,1630142,4683006,2024,2026,3,both
LUMA-W-0000090,Luisa Geiselsoder,1630143,4682797,2025,2026,2,both
LUMA-W-0000091,Jihyun Park,1630148,4874375,2026,2026,1,both
LUMA-W-0000092,Satou Sabally,1630149,4281929,2020,2026,7,both
LUMA-W-0000093,Chennedy Carter,1630150,4280892,2020,2026,5,both
LUMA-W-0000094,Kamiah Smalls,1630154,4068346,2020,2026,4,both
LUMA-W-0000095,Raquel Carrera,1630384,4790258,2026,2026,1,both
LUMA-W-0000096,Awak Kuier,1630386,4790266,2021,2026,4,both
LUMA-W-0000097,Iliana Rupert,1630387,4790263,2022,2025,3,both
LUMA-W-0000098,Dana Evans,1630389,4281190,2021,2026,6,both
LUMA-W-0000099,Natasha Mack,1630442,4068042,2021,2026,4,both
LUMA-W-0000100,Michaela Onyenwere,1630446,4282173,2021,2026,6,both
LUMA-W-0000101,Kiana Williams,1630461,4282168,2021,2026,5,both
LUMA-W-0000102,Marine Fauthoux,1630469,4790260,2026,2026,1,both
LUMA-W-0000103,Maya Caldwell,1630471,4280850,2022,2026,5,both
LUMA-W-0000104,Anneli Maley,1630993,4281930,2022,2026,2,both
LUMA-W-0000105,Rae Burrell,1630996,4398764,2022,2026,5,both
LUMA-W-0000106,Kierstan Bell,1631006,4433633,2022,2026,5,both
LUMA-W-0000107,Veronica Burton,1631007,4398935,2022,2026,5,both
LUMA-W-0000108,Rhyne Howard,1631009,4398674,2022,2026,5,both
LUMA-W-0000109,NaLyssa Smith,1631019,4398776,2022,2026,5,both
LUMA-W-0000110,Sika Kone,1631021,5017721,2023,2026,4,both
LUMA-W-0000111,Shakira Austin,1631022,4398911,2022,2026,5,both
LUMA-W-0000112,Miela Sowah,1631039,4398577,2026,2026,1,both
LUMA-W-0000113,Naz Hillmon,1631044,4398915,2022,2026,5,both
LUMA-W-0000114,Nyara Sabally,1631055,4398768,2023,2026,4,both
LUMA-W-0000115,Chloe Bibby,1631064,4280877,2025,2026,2,both
LUMA-W-0000116,Emily Engstler,1631083,4398729,2022,2026,5,both
LUMA-W-0000117,Lexie Hull,1631086,4398829,2022,2026,5,both
LUMA-W-0000118,Lexi Held,1631118,4399342,2025,2026,2,both
LUMA-W-0000119,Olivia Nelson-Ododa,1631135,4398966,2022,2026,5,both
LUMA-W-0000120,Pauline Astier,1631136,5345320,2026,2026,1,both
LUMA-W-0000121,Jade Melbourne,1631141,5017726,2023,2026,4,both
LUMA-W-0000122,Nikolina Milic,1631263,4874475,2022,2026,3,both
LUMA-W-0000123,Aliyah Boston,1641648,4432831,2023,2026,4,both
LUMA-W-0000124,Diamond Miller,1641649,4433635,2023,2026,4,both
LUMA-W-0000125,Haley Jones,1641650,4595910,2023,2026,4,both
LUMA-W-0000126,Jordan Horston,1641651,4432830,2023,2026,3,both
LUMA-W-0000127,Maddy Siegrist,1641652,4399415,2023,2026,4,both
LUMA-W-0000128,Laeticia Amihere,1641656,4432834,2023,2026,4,both
LUMA-W-0000129,Dorka Juhasz,1641657,4398938,2023,2026,3,both
LUMA-W-0000130,Zia Cooke,1641660,4432832,2023,2026,4,both
LUMA-W-0000131,Holly Winterburn,1641683,4433690,2026,2026,1,both
LUMA-W-0000132,Ashten Prechtel,1641695,4433634,2026,2026,1,both
LUMA-W-0000133,Julie Vanloo,1642210,2566110,2024,2026,3,both
LUMA-W-0000134,Caitlin Clark,1642286,4433403,2024,2026,3,both
LUMA-W-0000135,Cameron Brink,1642287,4433404,2024,2026,3,both
LUMA-W-0000136,Rickea Jackson,1642288,4433630,2024,2026,3,both
LUMA-W-0000137,Kamilla Cardoso,1642289,4433405,2024,2026,3,both
LUMA-W-0000138,Aaliyah Edwards,1642290,4433408,2024,2026,3,both
LUMA-W-0000139,Angel Reese,1642291,4433402,2024,2026,3,both
LUMA-W-0000140,Jacy Sheldon,1642292,4432865,2024,2026,3,both
LUMA-W-0000141,Alissa Pili,1642293,5105752,2024,2026,3,both
LUMA-W-0000142,Nyadiew Puoch,1642296,5209202,2026,2026,1,both
LUMA-W-0000143,Isobel Borlase,1642302,5208983,2026,2026,1,both
LUMA-W-0000144,Leila Lacan,1642303,5208981,2025,2026,2,both
LUMA-W-0000145,Carla Leite,1642304,5208982,2025,2026,2,both
LUMA-W-0000146,Mackenzie Holmes,1642307,4433643,2025,2026,2,both
LUMA-W-0000147,Jaylyn Sherrod,1642320,4433386,2024,2026,3,both
LUMA-W-0000148,Sydney Taylor,1642321,4594786,2026,2026,1,both
LUMA-W-0000149,Kate Martin,1642324,4398907,2024,2026,3,both
LUMA-W-0000150,Janelle Salaun,1642767,4790264,2025,2026,2,both
LUMA-W-0000151,Kyara Linskens,1642768,4873359,2025,2026,2,both
LUMA-W-0000152,Mai Yamamoto,1642769,5220104,2026,2026,1,both
LUMA-W-0000153,Alex Wilson,1642775,5278157,2026,2026,1,both
LUMA-W-0000154,Monique Akoa Makani,1642777,5274110,2025,2026,2,both
LUMA-W-0000155,Georgia Amoore,1642781,4704180,2026,2026,1,both
